AllgridID,longitude,latitude,x,y
16509,1.209525e+02,3.169447e+01,9,126
16510,1.209630e+02,3.169439e+01,10,126
16511,1.209735e+02,3.169431e+01,11,126
16512,1.209841e+02,3.169423e+01,12,126
16513,1.209946e+02,3.169415e+01,13,126
16514,1.210052e+02,3.169407e+01,14,126
16515,1.210157e+02,3.169398e+01,15,126
16516,1.210263e+02,3.169390e+01,16,126
16517,1.210368e+02,3.169382e+01,17,126
16518,1.210474e+02,3.169373e+01,18,126
16519,1.210579e+02,3.169364e+01,19,126
16520,1.210685e+02,3.169355e+01,20,126
16521,1.210790e+02,3.169347e+01,21,126
16522,1.210895e+02,3.169338e+01,22,126
16523,1.211001e+02,3.169328e+01,23,126
16524,1.211106e+02,3.169319e+01,24,126
16525,1.211212e+02,3.169310e+01,25,126
16526,1.211317e+02,3.169301e+01,26,126
16527,1.211423e+02,3.169291e+01,27,126
16528,1.211528e+02,3.169282e+01,28,126
16529,1.211634e+02,3.169272e+01,29,126
16530,1.211739e+02,3.169263e+01,30,126
16531,1.211845e+02,3.169253e+01,31,126
16532,1.211950e+02,3.169243e+01,32,126
16533,1.212056e+02,3.169233e+01,33,126
16534,1.212161e+02,3.169223e+01,34,126
16535,1.212266e+02,3.169213e+01,35,126
16536,1.212372e+02,3.169203e+01,36,126
16537,1.212477e+02,3.169193e+01,37,126
16538,1.212583e+02,3.169182e+01,38,126
16539,1.212688e+02,3.169172e+01,39,126
16540,1.212794e+02,3.169161e+01,40,126
16541,1.212899e+02,3.169151e+01,41,126
16542,1.213005e+02,3.169140e+01,42,126
16543,1.213110e+02,3.169129e+01,43,126
16544,1.213215e+02,3.169118e+01,44,126
16545,1.213321e+02,3.169107e+01,45,126
16546,1.213426e+02,3.169096e+01,46,126
16547,1.213532e+02,3.169085e+01,47,126
16548,1.213637e+02,3.169074e+01,48,126
16549,1.213743e+02,3.169063e+01,49,126
16550,1.213848e+02,3.169051e+01,50,126
16551,1.213954e+02,3.169040e+01,51,126
16552,1.214059e+02,3.169028e+01,52,126
16553,1.214164e+02,3.169016e+01,53,126
16554,1.214270e+02,3.169005e+01,54,126
16555,1.214375e+02,3.168993e+01,55,126
16556,1.214481e+02,3.168981e+01,56,126
16557,1.214586e+02,3.168969e+01,57,126
16558,1.214692e+02,3.168957e+01,58,126
16559,1.214797e+02,3.168945e+01,59,126
16560,1.214902e+02,3.168932e+01,60,126
16561,1.215008e+02,3.168920e+01,61,126
16562,1.215113e+02,3.168907e+01,62,126
16563,1.215219e+02,3.168895e+01,63,126
16564,1.215324e+02,3.168882e+01,64,126
16565,1.215430e+02,3.168870e+01,65,126
